,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1806,Radeon HD 8670D + R5 330 Dual,746,1434,,
1807,Radeon HD 8670D + R7 200 Dual,949,1264,,
1808,Radeon HD 8670D + R7 240 Dual,1020,1222,,
1809,Radeon HD 8670D N HD 8670D + HD 8670D Dual,488,1737,,
1810,Radeon HD 8670M,520,1704,,
1811,Radeon HD 8690A,510,1712,,
1812,Radeon HD 8690M,984,1247,,
1813,Radeon HD 8730M,811,1374,,
1814,Radeon HD 8750M,1020,1221,,
1815,Radeon HD 8790M,1305,1101,,
1816,Radeon HD 8790M / R9 M290X,1210,1133,,
